calcifié calcifiée
calciné calcinée
calcul calcule
calculateur calculatrice
calcule calculette
calculer calculeuse
calculé calculée
calfat calfate
calfaté calfatée
calfeutré calfeutrée
calibré calibrée
californien californienne
call calle
caller calleuse
calleux calleuse
calligraphié calligraphiée
calmant calmante
calmé calmée
calomniateur calomniatrice
calomnier calomnieuse
calomnieux calomnieuse
calomnié calomniée
calot calotte
calqué calquée
calé calée
calédonien calédonienne
camard camarde
cambodgien cambodgienne
cambrioler cambrioleuse
cambrioleur cambrioleuse
cambriolé cambriolée
cambré cambrée
camelot camelote
camerounais camerounaise
camionneur camionneuse
camouflé camouflée
campagnard campagnarde
camper campeuse
campeur campeuse
campé campée
camus camuse
camé camée
canadien canadienne
canalisé canalisée
canard cane
canardé canardée
cancan cancane
cancanier cancanière
cancéreux cancéreuse
candi candie
candida candidate
candidat candidate
cane canette
canin canine
canine caninette
canne cannette
cannelé cannelée
canné cannée
canon cane
canonisé canonisée
canonnier canonnière
canot canote
cantinier cantinière
canton cantonne
cantonais cantonaise
cantonal cantonale
cantonné cantonnée
caoutchouteux caoutchouteuse
caoutchouté caoutchoutée
caparaçon caparaçonne
caparaçonné caparaçonnée
capital capitale
capitan capitane
capiteux capiteuse
capitonné capitonnée
capo capote
caporal caporale
capot capote
capoté capotée
capricieux capricieuse
captieux captieuse
captif captive
captivant captivante
captivé captivée
capturé capturée
capté captée
capucin capucine
capétien capétienne
caque caquette
caquet caquette
caquetant caquetante
caqueter caqueteuse
carabin carabine
carabiné carabinée
caractériel caractérielle
caractérisé caractérisée
caramélisé caramélisée
caravanier caravanière
carbonisé carbonisée
carcéral carcérale
carder cardeuse
cardeur cardeuse
cardinal cardinale
cardé cardée
care caresse
caressant caressante
caresser caresseuse
caressé caressée
cari carie
caricatural caricaturale
carillon carillonne
carillonner carillonneuse
carillonneur carillonneuse
caritatif caritative
carié cariée
carmin carmine
carminé carminée
carmé carmée
carnassier carnassière
carné carnée
carolingien carolingienne
carotidien carotidienne
carotter carotteuse
carotteur carotteuse
carpe carpette
carpien carpienne
carrelé carrelée
carrier carrière
carré carrée
carthaginois carthaginoise
cartilagineux cartilagineuse
cartomancien cartomancienne
carton cartonne
cartonner cartonneuse
cartonneux cartonneuse
cartonné cartonnée
cartésien cartésienne
casanier casanière
cascader cascadeuse
cascadeur cascadeuse
case casette
casque casquette
casquettier casquettière
casqué casquée
cassa cassate
cassant cassante
casse cassette
casser casseuse
casseur casseuse
cassé cassée
castagne castagnette
castillan castillane
castrateur castratrice
castré castrée
casé casée
catalan catalane
catalogué cataloguée
catapulté catapultée
catarrheux catarrheuse
catastrophé catastrophée
catcher catcheuse
catcheur catcheuse
cathédral cathédrale
caucasien caucasienne
cauchemarder cauchemardeuse
cauchemardeux cauchemardeuse
cauchois cauchoise
caudal caudale
causant causante
cause causette
causer causeuse
causeur causeuse
causé causée
cauteleux cauteleuse
caution cautionne
cautionné cautionnée
cavaler cavaleuse
cavaleur cavaleuse
cavalier cavalière
cave cavette
caverneux caverneuse
cavillon cavillonne
cavé cavée
ceint ceinte
ceinturé ceinturée
cendreux cendreuse
cendré cendrée
censuré censurée
censé censée
centrafricain centrafricaine
central centrale
centralisé centralisée
centrifugeur centrifugeuse
centré centrée
centuplé centuplée
cerclé cerclée
cerné cernée
certain certaine
certifié certifiée
cerveau cervelle
cervical cervicale
cessant cessante
cessé cessée
chacun chacune
chafouin chafouine
chagrin chagrine
chagriné chagrinée
chahut chahute
chahuter chahuteuse
chahuteur chahuteuse
chahuté chahutée
chair chaire
chais chaise
chaisier chaisière
chaleureux chaleureuse
chaloupé chaloupée
chamailler chamailleuse
chamailleur chamailleuse
chaman chamane
chamarré chamarrée
chambardé chambardée
chamboulé chamboulée
chambre chambrette
chambré chambrée
chameau chamelle
champenois champenoise
champignon champignonne
champion championne
chancel chancelle
chancelant chancelante
chancelier chancelière
chanceux chanceuse
changeant changeante
changer changeuse
changeur changeuse
changé changée
chanoine chanoinesse
chanoines chanoinesse
chanstiqué chanstiquée
chant chante
chantant chantante
chanter chanteuse
chanteur chanteuse
chantonnant chantonnante
chantonné chantonnée
chanté chantée
chançard chançarde
chaparder chapardeuse
chapardeur chapardeuse
chapardé chapardée
chapeau chapelle
chapeauté chapeautée
chaperonné chaperonnée
chapitré chapitrée
charançonné charançonnée
charbon charbonne
charbonne charbonnette
charbonner charbonneuse
charbonneux charbonneuse
charbonnier charbonnière
charcutier charcutière
charcuté charcutée
chargé chargée
charlot charlotte
charmant charmante
charmer charmeuse
charmeur charmeuse
charmé charmée
charnel charnelle
charnier charnière
charnu charnue
charognard charogne
charpentier charpentière
charpenté charpentée
charre charrette
charretier charretière
charrier charrière
charrié charriée
chartreux chartreuse
chas chasse
chasser chasseuse
chasseur chasseresse
chassieux chassieuse
chassé chassée
chat chatte
chaton chatonne
chatouiller chatouilleuse
chatouilleux chatouilleuse
chatouillé chatouillée
chatoyant chatoyante
chaud chaude
chaudronné chaudronnée
chauffant chauffante
chauffer chauffeuse
chauffeur chauffeuse
chauffé chauffée
chaulé chaulée
chausse chaussette
chausseur chausseuse
chaussonnier chaussonnière
chaussé chaussée
chauvin chauvine
chaux chausse
chavirant chavirante
chaviré chavirée
chaîne chaînette
chaînon chaîne
chemin chemine
