Word (M/F)                                 POS            LEMMA                    TAG       DEPENDENCY
épicier, épicière	                       VERB	      épicier	                  VERB	      ROOT
éplucheur, éplucheuse	                   NOUN	      éplucheur	                NOUN	      ROOT
époux, épouse	                           NOUN	      époux	                    NOUN	      ROOT
espagnol, espagnole	                     VERB	      espagnol	                 VERB	      ROOT
espion, espionne	                        NOUN	      espion	                   NOUN	      ROOT
estivant, estivante	                     VERB	      estiver	                  VERB	      ROOT
états-unien, états-unienne	              NOUN	      états-unien	              NOUN	      ROOT
étourdi, étourdie	                       NOUN	      étourdi	                  NOUN	      ROOT
étranger, étrangère	                     VERB	      étranger	                 VERB	      ROOT
étrangleur, étrangleuse	                 NOUN	      étrangleur	               NOUN	      ROOT
étudiant, étudiante	                     VERB	      étudier	                  VERB	      ROOT
européen, européenne	                    ADJ	       européen	                 ADJ	       ROOT
évadé, évadée	                           ADJ	       évadé	                    ADJ	       ROOT
exagérateur, exagératrice	               NOUN	      exagérateur	              NOUN	      ROOT
exécuteur, exécutrice	                   NOUN	      exécuteur	                NOUN	      ROOT
expéditeur, expéditrice	                 NOUN	      expéditeur	               NOUN	      ROOT
expérimentateur, expérimentatrice	       NOUN	      expérimentateur	          NOUN	      ROOT
exploitant, exploitante	                 VERB	      exploiter	                VERB	      ROOT
explorateur, exploratrice	               ADJ	       explorateur	              ADJ	       ROOT
exposant, exposante	                     VERB	      exposer	                  VERB	      ROOT
extravagant, extravagante	               VERB	      extravager	               VERB	      ROOT
fabricant, fabricante	                   NOUN	      fabricant	                NOUN	      ROOT
facteur, factrice	                       NOUN	      facteur	                  NOUN	      ROOT
familier, familière	                     ADJ	       familier	                 ADJ	       ROOT
fautif, fautive	                         ADJ	       fautif	                   ADJ	       ROOT
favori, favorite	                        VERB	      favori	                   VERB	      ROOT
fermier, fermière	                       ADJ	       fermier	                  ADJ	       ROOT
festivalier, festivalière	               NOUN	      festivalier	              NOUN	      ROOT
fiancé, fiancée	                         VERB	      fiancer	                  VERB	      ROOT
filleul, filleule	                       ADJ	       filleul	                  ADJ	       ROOT
flâneur, flâneuse	                       NOUN	      flâneur	                  NOUN	      ROOT
fondateur, fondatrice	                   NOUN	      fondateur	                NOUN	      ROOT
fondeur, fondeuse	                       NOUN	      fondeur	                  NOUN	      ROOT
footballeur, footballeuse	               NOUN	      footballeur	              NOUN	      ROOT
footeux, footeuse	                       ADJ	       footeux	                  ADJ	       ROOT
formateur, formatrice	                   NOUN	      formateur	                NOUN	      ROOT
fou, folle	                              NOUN	      fou	                      NOUN	      ROOT
fouetteur, fouetteuse	                   NOUN	      fouetteur	                NOUN	      ROOT
fournisseur, fournisseuse	               NOUN	      fournisseur	              NOUN	      ROOT
franc, franque	                          ADJ	       franc	                    ADJ	       ROOT
français, française	                     ADJ	       français	                 ADJ	       ROOT
frileux, frileuse	                       ADJ	       frileux	                  ADJ	       ROOT
frimeur, frimeuse	                       NOUN	      frimeur	                  NOUN	      ROOT
frisé, frisée	                           VERB	      friser	                   VERB	      ROOT
fromager, fromagère	                     VERB	      fromager	                 VERB	      ROOT
froussard, froussarde	                   ADV	       froussard	                ADV	       ROOT
fugitif, fugitive	                       ADJ	       fugitif	                  ADJ	       ROOT
fumeur, fumeuse	                         NOUN	      fumeur	                   NOUN	      ROOT
