abbé_NOM :prêtre_NOM,georges-henri_NAM,biéler_NAM,amédée_NAM,évêque_NOM,maurice_NAM,pelletier-baillargeon_NAM,filleul_NOM,fernand_NAM,léon_NAM,
bienheureuse_ADJ :exaltée_VER,aveuglante_ADJ,bénie_ADJ,teresa_VER,fuyante_ADJ,religieuse_NOM,orgueilleuse_ADJ,bienfaisante_ADJ,grouillante_ADJ,triomphante_ADJ,

blessé_NOM :blessés_NOM,blessé_VER,blessés_VER,grièvement_ADV,kamikaze_NOM,attentat-suicide_NOM,assaillant_NOM,blessés_ADJ,blesses_VER,soldat_NOM,

blessée_ADJ :blessée_VER,éplorée_ADJ,mourante_ADJ,esseulée_ADJ,têtue_ADJ,névrosée_ADJ,souffrante_ADJ,contrariée_VER,guérie_VER,meurtrie_VER,

blond_NOM :tribu.com_NAM,sournois_ADJ,tva_ABR,nikita_NOM,blond_ADJ,sucré-salé_NAM,labrèche_NAM,emma_NAM,nikita_VER,piment_NOM,

blonde_NOM :blonde_ADJ,fille_NOM,femme_NOM,copine_NOM,maman_NOM,jolie_ADJ,rousse_NOM,mère_NOM,amie_NOM,compagne_NOM,

boiteux_ADJ :roi_NOM,enchaîné_ADJ,orphelin_ADJ,dysfonctionnel_ADJ,mort-né_ADJ,feydeau_NAM,hasardeux_ADJ,risqué_VER,cygne_NOM,vilain_NOM,

boiteuse_ADJ :redondante_ADJ,têtue_ADJ,amusante_ADJ,simpliste_ADJ,banale_ADJ,insatisfaisante_ADJ,ennuyante_ADJ,fastidieuse_ADJ,idiote_ADJ,caricaturale_ADJ,

boucher_NOM :rôti_ADJ,fils_NOM,joint_NOM,aromatisé_VER,enduire_VER,machinalement_ADV,poireau_NOM,pressoir_NOM,maréchal_NOM,père_NOM,

boulanger_ADJ :luc_NOM,cultivateur_NOM,julien_ADJ,abdellatif_NAM,métier_NOM,pâtisseries_NOM,lenôtre_NAM,aubergiste_NOM,cordonnier_NOM,fromager_ADJ,

boxeur_NOM :alcine_NAM,lucas_NAM,pugiliste_NOM,gatti_NAM,sprinter_NOM,boxe_NOM,garçon_NOM,thobela_NAM,lucian_NAM,joueur_NOM,

breton_ADJ :provençal_ADJ,chardon_NOM,français_ADJ,wapiti_NOM,parmentier_NOM,écossais_ADJ,bretonne_ADJ,poitou_NAM,cassoulet_NOM,marchand_ADJ,

bretonne_ADJ :celtique_ADJ,marseillaise_ADJ,cajun_ADJ,provençale_ADJ,rôtie_VER,amérindienne_NOM,bordelaise_ADJ,antillaise_ADJ,normande_ADJ,maghrébine_ADJ,

brun_NOM :blanc_ADJ,châtain_NOM,argenté_ADJ,noir_NOM,foncé_ADJ,mauve_NOM,brun_ADJ,gris_ADJ,noir_ADJ,pourpre_NOM,

brune_NOM :mtlaise_NOM,châtain_NOM,châtaine_NOM,brunette_NOM,rousse_ADJ,brune_ADJ,épicurienne_NOM,mtiaise_NAM,mince_INT,40alne_ADJ,

buteur_NOM :marqueur_NOM,attaquant_NOM,pointeur_NOM,pointeurs_NOM,joueur_NOM,sebrango_NAM,gardien_NOM,trezeguet_NAM,vanek_NAM,capitaine_NOM,

buveur_NOM :séducteur_NOM,cigare_NOM,excentrique_NOM,orgueilleux_ADJ,impénitent_ADJ,gaffeur_NOM,affamé_ADJ,légume_NOM,mâle_NOM,ivrogne_ADJ,

cadet_NOM :cadet_ADJ,fils_NOM,père_NOM,aîné_NOM,frère_NOM,garçon_NOM,grand-père_NOM,montoya_NAM,petit-fils_NOM,âgé_ADJ,

cadette_NOM :aînée_NOM,cadette_ADJ,fille_NOM,mère_NOM,adolescente_NOM,éplorée_ADJ,âgée_ADJ,serena_NAM,aînée_ADJ,navratilova_NAM,

cadet_NOM :cadet_ADJ,fils_NOM,père_NOM,aîné_NOM,frère_NOM,garçon_NOM,grand-père_NOM,montoya_NAM,petit-fils_NOM,âgé_ADJ,

caissière_NOM :prostituée_NOM,employée_NOM,serveuse_NOM,vendeuse_NOM,gérante_NOM,ouvrière_NOM,fille_NOM,coiffeuse_NOM,réceptionniste_NOM,mère_NOM,

